以下のデータは CC0 で公開可となります。,,,,,,,,"twitter,facebook,ホームページを入れて行って頂けると助かります。他はだいたい入っていますが生年月日が年までしか入っていないものがあります。10/5 higa4",,,,,,,
wikidata への登録時に「出典URL」を「http://www.dot-jp.or.jp/seijinavi/」に設定していただけるとありがたく。,,,,,,,,現在登録済み数,127,15.34%,が完了しています。,,,,
登録が終わったら wikidata Q を書いてもらえると助かります,,,,,,,,,,,,Wikidataへの登録状況,,,
wikidata,名前,姓,名,名（フリガナ）,姓（フリガナ）,性別,生年月日,Twitterアドレス,Facebookページアドレス,ホームページアドレス1,ホームページアドレス2(ブログも可),担当,登録予定日,完了日,メモ
Q11467778,山尾志桜里,山尾,志桜里,シオリ,ヤマオ,女,19740724,ShioriYamao,,http://www.yamaoshiori.jp/,,,,,
Q11469130,山本朋広,山本,朋広,トモヒロ,ヤマモト,男,19750620,ty_polepole,,http://www.yamamoto-tomohiro.com/,,,,,
Q11470608,山田美樹,山田,美樹,ミキ,ヤマダ,女,19740315,yamada_miki,,http://miki-yamada.com/,,,,,
Q11470671,山田賢司,山田,賢司,ケンジ,ヤマダ,男,19660420,ymd_knj,,http://yamada-kenji.com/,,,,,
Q11475456,岩田和親,岩田,和親,カズチカ,イワタ,男,19730920,Kazuchika_Iwata,,http://www.k-iwata.jp/,,,,,
Q11475894,岸本周平,岸本,周平,シュウヘイ,キシモト,男,19560712,shuheikishimoto,https://www.facebook.com/shuheikishimoto.jp,http://shuheikishimoto.jp/,http://blog.shuheikishimoto.jp/,,,,
Q11479573,工藤彰三,工藤,彰三,ショウゾウ,クドウ,男,19641208,kudoshozo,https://www.facebook.com/kudoshozo,http://www.kudoshozo.jp/,,,,,
Q11488572,後藤祐一,後藤,祐一,ユウイチ,ゴトウ,男,19690325,,,http://www.jitsugen.jp/,,,,,
Q11513088,星野剛士,星野,剛士,ツヨシ,ホシノ,男,19630808,hossys,,http://t-stars.com/,,,,,
Q11518048,木下智彦,木下,智彦,トモヒコ,キノシタ,男,19690430,tommykun01,https://www.facebook.com/KinoshitaIshin,http://kinoshita-tomohiko.net/,,,,,
Q11518159,木内均,木内,均,ヒトシ,キウチ,男,19640803,kiuchi_hitoshi,,,,,,,
Q11518163,木内孝胤,木内,孝胤,タカタネ,キウチ,男,19660830,takatanekiuchi?ref_src=twsrc%5Etfw,https://www.facebook.com/takatane.kiuchi,http://www.takatane.com/,,,,,
Q11518220,木原稔,木原,稔,ミノル,キハラ,男,19690812,kihara_minoru,,http://kiharaminoru.jp/,,higa4,10/5,10/5,
Q11518222,木原誠二,木原,誠二,セイジ,キハラ,男,19700608,kihara_seiji,,http://www.kiharaseiji.com/,,higa4,10/5,10/5,
Q11520430,本村賢太郎,本村,賢太郎,ケンタロウ,モトムラ,男,19700417,kentarou450417?ref_src=twsrc%5Etfw,https://www.facebook.com/motomura.kentarou/,http://dpj-kanagawa14.jp/kentarou_motomura/,,,,,
Q11523004,村井英樹,村井,英樹,ヒデキ,ムライ,男,19800514,muraihideki,,http://muraihideki.com/,,,,,
Q11523193,村岡敏英,村岡,敏英,トシヒデ,ムラオカ,男,19600725,muraoka_toshi,,http://www.muraokatoshihide.jp/,,,,,
Q11535033,柿沢未途,柿沢,未途,ミト,カキザワ,男,19710121,310kakizawa,,http://www.310kakizawa.jp/,,,,,
Q11536382,根本幸典,根本,幸典,ユキノリ,ネモト,男,19650221,nemotoyukinori,,http://www.nemotoyukinori.jp/,,,,,
Q11542092,樋口尚也,樋口,尚也,ナオヤ,ヒグチ,男,19710411,,,,,,,,
Q11544051,橋本英教,橋本,英教,ヒデノリ,ハシモト,男,19670828,,,http://hashimoto-hidenori.com/,,,,,
Q11544282,橘慶一郎,橘,慶一郎,ケイイチロウ,タチバナ,男,19610123,,,http://www.t-k1.net/,,,,,
Q11545768,武井俊輔,武井,俊輔,シュンスケ,タケイ,男,19750329,syunsuke_takei,,http://www.s-takei.jp/,,,,,
Q11546026,武村展英,武村,展英,ノブヒデ,タケムラ,男,19720121,nobu_takemura,,http://www.nobuhide.com/,,,,,
Q11546528,武藤貴也,武藤,貴也,タカヤ,ムトウ,男,19790525,takaya_mutou,,http://mutou-takaya.com/,,,,,
Q11546586,武部新,武部,新,アラタ,タケベ,男,19700720,takebearata,,http://takebe-arata.com/,,,,,
Q11547421,比嘉奈津美,比嘉,奈津美,ナツミ,ヒガ,女,19581003,,,,,,,,
Q11551703,池田佳隆,池田,佳隆,ヨシタカ,イケダ,男,19660620,ikeda_0620,,http://ikeda-yoshitaka.jp/,,,,,
Q11552157,池田道孝,池田,道孝,ミチタカ,イケダ,男,19470209,,,,,221daisuke,10/5,10/5,
Q11553342,河井克行,河井,克行,カツユキ,カワイ,男,19630311,,,http://kawaikatsuyuki.com/,,,,,
Q11554229,河野正美,河野,正美,マサミ,カワノ,男,19610630,,,http://www.kawano-masami.com/,,,,,
Q1155448,平野博文,平野,博文,ヒロフミ,ヒラノ,男,19490319,,,http://www.hhirano.jp/,,,,,
Q11556075,津島淳,津島,淳,ジュン,ツシマ,男,19661018,tsushimajun,,,,,,,
Q11558377,浦野靖人,浦野,靖人,ヤスト,ウラノ,男,19730404,uranoyasuto,https://www.facebook.com/urano.yasuto,http://www.uranoyasuto.net/,http://www.uranoyasuto.net,,,,
Q11560960,清水ただし,清水,ただし,タダシ,シミズ,男,19680505,,,http://www.shimizu-tadashi.jp/,,higa4,10/5,10/5,
Q11561908,とかしきなおみ,とかしき,なおみ,ナオミ,トカシキ,女,19620716,naomi_tokashiki,,http://www.tokashiki.gr.jp/,,higa4,10/5,10/5,渡嘉敷奈緒美
Q11562133,渡辺博道,渡辺,博道,ヒロミチ,ワタナベ,男,19500803,,,http://www.hiromichi21.com/,,,,,
Q11562188,渡辺孝一,渡辺,孝一,コウイチ,ワタナベ,男,19571125,,,http://watanabekoichi.jp/,,,,,
Q11566187,濱村進,濱村,進,ススム,ハマムラ,男,19750930,HamamuraSusumu,,http://hamamura-komei.jp/,,,,,
Q11566681,瀬戸隆一,瀬戸,隆一,タカカズ,セト,男,19650802,setotakakazu,,http://www.setojapan.jp/,,,,,
Q11568677,熊田裕通,熊田,裕通,ヒロミチ,クマダ,男,19640828,kumadahiromichi,,http://www.kumada-hiromichi.com/,,,,,
Q11570409,牧島かれん,牧島,かれん,カレン,マキシマ,女,19761101,makishimakaren,,http://makishimakaren.com/,,,,,
Q11572466,玉城デニー,玉城,デニー,デニー,タマキ,男,19591013,tamakidenny,,http://www.d21tamaki.com/,http://gree.jp/tamaki_denny/,,,,
Q11572647,玉木雄一郎,玉木,雄一郎,ユウイチロウ,タマキ,男,19690501,tamakiyuichiro,,http://www.tamakinet.jp/,http://ameblo.jp/tamakiyuichiro/,,,,
Q11576787,田所嘉徳,田所,嘉徳,ヨシノリ,タドコロ,男,19540119,tadokoro_yoshi,,,,,,,
