Wikidata ID,name,,,,name in hiragana,party short name,,,,current position,prefecuture code for sort key,,area 1(proportionally represented constituency),area 2(small electoral district),,candidacy in election,elected in,gender,birthday,age(calculated),,,Facebook profile ID,official Facebook page,LINE,YouTube channel ID,,official site,e-mail,official blog,described at URL,place of birth,biography,,occupation,position held,father,spouse,memorandom,Wikidata ID（参考情報）,Wikipedia URL（参考情報）,,,,,,
UI用DBカラム名,name_full,name_last,name_first,name_alias,name_full_furigana,pary_id,,party_history,,,pref_code,senkyoku_no,,,submission_order,candidacy_history,,gender,birth_day,,birth_year,twitter_id,facebook_id,facebook_page_id,line_id,youtube_channel_id,instagram_id,offiicial_website_url,email,official_blog_url,reference_url,birth_place,educational_background,,occupation,position_held,father,spouse,,url_wikidata,url_wikipedia,,,,,,
wikdiata_concept,label,,,alias,P1814,Q7278,,,,,Q646425,,Q13365595,Q1052894,,P3602,P2715,P21,P569,,,P2002,P2013,P4003,P554-P553,P2397,,P856,P968,P1581,P973,P19,P69,P69,P106,P39,P22,P26,,,,,,,,,
wikidata,名前（フル）,名前（姓）,名前（名）,選挙用表記名/別名,かな,公認政党,推薦政党,以前の政党,立候補,前回,都道府県,小選挙区番号,比例区,小選挙区,届け出順,過去の立候補歴,過去の当選歴,性別,誕生日,年齢,誕生年,twitter,フェイスブックID,公式Facebookページ,LINEアカウント,youtube channel,Instagram,公式サイト,メールアドレス,公式ブログ,詳細情報URL,出生地,学歴（履歴）,学歴（最新）,職歴,公職,父親,配偶者,メモ,Wikidata URL,Wikipedia URL,担当,予定日,完了日,担当,予定日,完了日
,小寺裕雄,小寺,裕雄,,,自民,,,,,25,4,,滋賀県 4区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,小川泰江,小川,泰江,,,民進,,,,,25,3,,滋賀県 3区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,小林学,小林,学,,,維新,,,,,13,5,東京都ブロック,東京都 5区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,小林弘幸,小林,弘幸,,,立民,,,,,19,2,,山梨県 2区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,小野里定良,小野里,定良,,,共産,,,,,12,8,,千葉県 8区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,小金沢由佳,小金沢,由佳,,,共産,,,,,20,3,,長野県 3区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,尾崎光,尾崎,光,,,共産,,,,,34,5,,広島県 5区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,尾崎宏子,尾崎,宏子,,,共産,,,,,33,3,,岡山県 3区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,山下容子,山下,容子,,,立民,,,,,13,25,,東京都 25区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,山下登美子,山下,登美子,,,共産,,,,,40,11,,福岡県 11区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,山元建,山元,建,,,共産,,,,,27,9,,大阪府 9区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,山内健,山内,健,,,共産,,,,,26,5,,京都府 5区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,山川百合子,山川,百合子,,,立民,,,,,11,3,,埼玉県 3区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,山本千代子,山本,千代子,,,共産,,,,,36,1,,徳島県 1区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,山本悠子,山本,悠子,,,共産,,,,,11,5,,埼玉県 5区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,岡崎裕,岡崎,裕,,,共産,,,,,14,13,,神奈川県 13区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,岩田剛,岩田,剛,,,共産,,,,,32,1,,島根県 1区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,岸武志,岸,武志,,,共産,,,,,13,6,,東京都 6区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,岸良信,岸,良信,,,共産,,,,,13,10,,東京都 10区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,嶋田初江,嶋田,初江,,,共産,,,,,22,8,,静岡県 8区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,川戸康嗣,川戸,康嗣,,,民進,,,,,27,18,,大阪府 18区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,市川佳子,市川,佳子,,,民進,,,,,14,10,,神奈川県 10区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,平山良平,平山,良平,,,社民,,,,,23,1,,愛知県 1区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,平川道也,平川,道也,,,共産,,,,,11,2,,埼玉県 2区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,平松順子,平松,順子,,ひらまつ じゅんこ,共産,,,,,28,2,,兵庫県 2区,,,,女性,1949/10/11,67,1949,jhiramatu,,,,,,,,,,,,,,,,,http://www.jcp.or.jp/web_senkyo/cat1/cat128/,,,,,,,,
,平林明成,平林,明成,,,共産,,,,,33,4,,岡山県 4区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,平野厚子,平野,厚子,,,共産,,,,,11,3,,埼玉県 3区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,恵飛須圭二,恵飛須,圭二,,,民進,,,,,34,4,,広島県 4区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,戸井田真太郎,戸井田,真太郎,,,自由,,,,,28,11,,兵庫県 11区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,戸口佐一,戸口,佐一,,,共産,,,,,11,6,,埼玉県 6区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,所進,所,進,,,共産,,,,,29,3,,奈良県 3区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,手塚大輔,手塚,大輔,,,維新,,,,,20,2,,長野県 2区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,斉藤幸子,斉藤,幸子,,,共産,,,,,25,1,,滋賀県 1区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,斎藤温,斎藤,温,,,共産,,,,,14,9,,神奈川県 9区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,新井杉生,新井,杉生,,,共産,,,,,13,17,,東京都 17区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,新居真,新居,真,,,共産,,,,,27,8,,大阪府 8区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,新町美千代,新町,美千代,,,共産,,,,,28,9,,兵庫県 9区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,早稲田夕季,早稲田,夕季,,,立民,,,,,14,4,,神奈川県 4区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,明石行夫,明石,行夫,,,共産,,,,,14,1,,神奈川県 1区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,星健太郎,星,健太郎,星けんたろう,,維新,,,,,12,6,,千葉県 6区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
