西本　篤,西本篤,西本,篤,幸福実現党,近畿ブロック,,新,47,https://twitter.com/nishimotoatsush,https://www.facebook.com/Atsushi.Nishimoto7,,党和歌山県本部代表,47歳,http://shugiin.go2senkyo.com/hirei/hkinki/13/
田中　孝子,田中孝子,田中,孝子,幸福実現党,近畿ブロック,,新,62,,https://www.facebook.com/jitsugen.takako/,https://ameblo.jp/tanakatakako/,党近畿比例ブロック副支部長,62歳,http://shugiin.go2senkyo.com/hirei/hkinki/13/
泉　章子,泉章子,泉,章子,幸福実現党,近畿ブロック,,新,58,,,,党近畿比例ブロック副支部長,58歳,http://shugiin.go2senkyo.com/hirei/hkinki/13/
油浅　頌子,油浅頌子,油浅,頌子,幸福実現党,近畿ブロック,,新,30,,,,党近畿比例ブロック副支部長,30歳,http://shugiin.go2senkyo.com/hirei/hkinki/13/
樽床　伸二,樽床伸二,樽床,伸二,希望の党,近畿ブロック,,元,58,,https://www.facebook.com/tarutokoshinji/,http://www.tarutoko.jp/,元総務相,58歳,http://shugiin.go2senkyo.com/hirei/hkinki/15/
井上　一徳,井上一徳,井上,一徳,希望の党,近畿ブロック,,新,55,https://twitter.com/＠kazunori_kibou,https://www.facebook.com/inouekazunori0731,,元防衛省大臣官房審議官,55歳,http://shugiin.go2senkyo.com/hirei/hkinki/15/
山井　和則,山井和則,山井,和則,希望の党,近畿ブロック,,前,55,https://twitter.com/yamanoikazunori,https://www.facebook.com/yamanoikazunori,http://yamanoi.net/,党国対委員長,55歳,http://shugiin.go2senkyo.com/hirei/hkinki/15/
馬淵　澄夫,馬淵澄夫,馬淵,澄夫,希望の党,近畿ブロック,,前,57,https://twitter.com/mabuchi_sumio,https://www.facebook.com/mabuchisumio/,http://mabuti.net/,元国土交通相,57歳,http://shugiin.go2senkyo.com/hirei/hkinki/15/
北神　圭朗,北神圭朗,北神,圭朗,希望の党,近畿ブロック,,前,50,https://twitter.com/kitagamikeiro,https://www.facebook.com/kitagamikeiro,http://www.kitagami.gr.jp/,元首相補佐官,50歳,http://shugiin.go2senkyo.com/hirei/hkinki/15/
井坂　信彦,井坂信彦,井坂,信彦,希望の党,近畿ブロック,,前,43,https://twitter.com/isakanobuhiko,https://www.facebook.com/isakanobuhiko/?fref=ts,http://www.isaka-nobuhiko.jp/#id55,厚労委理事,43歳,http://shugiin.go2senkyo.com/hirei/hkinki/15/
徳永　久志,徳永久志,徳永,久志,希望の党,近畿ブロック,,新,54,,https://www.facebook.com/tokunaga.hisashi/,http://e-siga.com/,元参院議員,54歳,http://shugiin.go2senkyo.com/hirei/hkinki/15/
田島　一成,田島一成,田島,一成,希望の党,近畿ブロック,,前,55,https://twitter.com/tajimaissei,https://www.facebook.com/issei.tajima.5?fref=ts,http://www.tajimaissei.com/,元環境副大臣,55歳,http://shugiin.go2senkyo.com/hirei/hkinki/15/
小川　泰江,小川泰江,小川,泰江,希望の党,近畿ブロック,,新,54,https://twitter.com/ogawa_yasue,https://www.facebook.com/ogawayasue?fref=nf,https://www.ogawayasue.net/,元守山市議,54歳,http://shugiin.go2senkyo.com/hirei/hkinki/15/
梶原　康弘,梶原康弘,梶原,康弘,希望の党,近畿ブロック,,元,61,,https://www.facebook.com/people/%E6%A2%B6%E5%8E%9F-%E3%82%84%E3%81%99%E3%81%B2%E3%82%8D/100003780227855,http://www.kajiwarayasuhiro.jp/,元農水政務官,61歳,http://shugiin.go2senkyo.com/hirei/hkinki/15/
前川　清成,前川清成,前川,清成,希望の党,近畿ブロック,,新,54,https://twitter.com/k_maekawa,https://www.facebook.com/maekawakiyoshige?fref=ts,,元内閣副大臣,54歳,http://shugiin.go2senkyo.com/hirei/hkinki/15/
