qname,url,type,ident,dst
Q8055326,https://www.facebook.com/profile.php?id=100010018330180,profile,100010018330180,https://www.facebook.com/profile.php?id=100010018330180
Q992930,https://www.facebook.com/ishihara.nobuteru,page,376595165774390,https://www.facebook.com/ishihara.nobuteru/
Q41770465,https://www.facebook.com/kukure.hara,profile,100003469241497,https://www.facebook.com/kukure.hara
Q41805327,https://www.facebook.com/takamatsusatoshi,profile,100002158537608,https://www.facebook.com/takamatsusatoshi
Q41805327,https://www.facebook.com/takamatsusatoshi.nerima,page,790006781067501,https://www.facebook.com/takamatsusatoshi.nerima/
Q11619136,https://www.facebook.com/sugawaraisshu,profile,100005302838772,https://www.facebook.com/sugawaraisshu
Q41769890,https://www.facebook.com/profile.php?id=100010161334611,profile,100010161334611,https://www.facebook.com/profile.php?id=100010161334611
Q41769890,https://www.facebook.com/kishiyoshinobu/,page,472646869788614,https://www.facebook.com/kishiyoshinobu/
Q11616618,https://www.facebook.com/wakasamasaru,page,123460164519743,https://www.facebook.com/wakasamasaru/
Q41769891,https://www.facebook.com/toshimitsu.yoshii.7,profile,100002968102619,https://www.facebook.com/toshimitsu.yoshii.7
Q41769891,https://www.facebook.com/yoshiitoshimitsu/,page,1604717483154190,https://www.facebook.com/yoshiitoshimitsu/
Q41769795,https://www.facebook.com/profile.php?id=100010780419010,profile,100010780419010,https://www.facebook.com/profile.php?id=100010780419010
Q41769795,https://www.facebook.com/yosuke.suzuki.tokyo10,page,133794906989393,https://www.facebook.com/yosuke.suzuki.tokyo10/
Q20040828,https://www.facebook.com/suzukihayato.jp/,page,492794154197100,https://www.facebook.com/suzukihayato.jp/
Q41769946,https://www.facebook.com/azuma.kozutsumi,profile,100003570203218,https://www.facebook.com/azuma.kozutsumi
Q41805320,https://www.facebook.com/shishidochie.jp,page,448280545569241,https://www.facebook.com/shishidochie.jp/
Q41769947,https://www.facebook.com/maejun.jp/,page,114953668882555,https://www.facebook.com/maejun.jp/
Q1655220,https://www.facebook.com/hakubun.shimomura,profile,100002671422559,https://www.facebook.com/hakubun.shimomura
Q1655220,https://www.facebook.com/hakubun.biz,page,175504189289294,https://www.facebook.com/hakubun.biz/
Q337406,https://www.facebook.com/teamohta,page,196824237082585,https://www.facebook.com/teamohta/
Q18669603,https://www.facebook.com/saolyn.ikeuchi/,page,1398822923741928,https://www.facebook.com/saolyn.ikeuchi/
Q18669603,https://www.facebook.com/saorioshitai,page,727116394044650,https://www.facebook.com/saorioshitai/
Q41769948,https://www.facebook.com/profile.php?id=100015441914773,profile,100015441914773,https://www.facebook.com/profile.php?id=100015441914773
Q41769950,https://www.facebook.com/kitajo.tomohiko,page,1033643156678572,https://www.facebook.com/kitajo.tomohiko/
Q730991,https://www.facebook.com/かもした一郎-362335094179877,page,362335094179877,https://www.facebook.com/%E3%81%8B%E3%82%82%E3%81%97%E3%81%9F%E4%B8%80%E9%83%8E-362335094179877/
Q41769951,https://www.facebook.com/kazuyuki.atou,profile,100002198767754,https://www.facebook.com/kazuyuki.atou
Q41693816,https://www.facebook.com/yahagi.asako/,page,1942704192618343,https://www.facebook.com/yahagi.asako/
Q41693816,https://www.facebook.com/yahagi.asako/,page,1942704192618343,https://www.facebook.com/yahagi.asako/
Q41769952,https://www.facebook.com/seii.miho,page,155888997906512,https://www.facebook.com/seii.miho/
Q6842917,https://www.facebook.com/matsushimamidori,profile,100003002518079,https://www.facebook.com/matsushimamidori
Q6842917,https://www.facebook.com/LDPmatsumido,page,747365265354722,https://www.facebook.com/LDPmatsumido/
Q41769955,https://www.facebook.com/jcp.yosida.toshio/,page,565108716958790,https://www.facebook.com/jcp.yosida.toshio/
Q11535033,https://www.facebook.com/mito.kakizawa,profile,100002122243657,https://www.facebook.com/mito.kakizawa
Q41770033,https://www.facebook.com/profile.php?id=100004759720162,profile,100004759720162,https://www.facebook.com/profile.php?id=100004759720162
Q7850039,https://www.facebook.com/tsukasa.akimoto,profile,100002495631835,https://www.facebook.com/tsukasa.akimoto
Q11577021,https://www.facebook.com/tamuken.net/,page,187960671274692,https://www.facebook.com/tamuken.net/
Q11396609,https://www.facebook.com/akihiro.hatsushika,profile,100001050357552,https://www.facebook.com/akihiro.hatsushika
Q11438916,https://www.facebook.com/0024hideo,page,429674663752637,https://www.facebook.com/0024hideo/
Q41770036,https://www.facebook.com/sugio.arai,profile,100003881929068,https://www.facebook.com/sugio.arai
Q6378065,https://www.facebook.com/hirasawakatuei,page,531591856884168,https://www.facebook.com/hirasawakatuei/
Q41805187,https://www.facebook.com/Tokita.Atsushi.Kibou/,page,1950918901818072,https://www.facebook.com/Tokita.Atsushi.Kibou/
Q47846,https://www.facebook.com/naoto.kan,profile,100003309687532,https://www.facebook.com/naoto.kan
Q11382420,https://www.facebook.com/profile.php?id=100022344623820,profile,100022344623820,https://www.facebook.com/profile.php?id=100022344623820
Q2576975,https://www.facebook.com/profile.php?id=100008253606732,profile,100008253606732,https://www.facebook.com/profile.php?id=100008253606732
Q5680924,https://www.facebook.com/matsumoto.yohei.7,profile,100001621562575,https://www.facebook.com/matsumoto.yohei.7
Q18818200,https://www.facebook.com/miyamototooru.jcp,page,815653611852826,https://www.facebook.com/miyamototooru.jcp/
Q41770228,https://www.facebook.com/akira.kano.18,profile,100004088105151,https://www.facebook.com/akira.kano.18
Q41770228,https://www.facebook.com/kano.akira0,page,694274403981578,https://www.facebook.com/kano.akira0/
Q11518222,https://www.facebook.com/seiji.kihara,page,603197326386173,https://www.facebook.com/seiji.kihara/
Q4700952,https://www.facebook.com/aki.nagashima21,page,543220995733684,https://www.facebook.com/aki.nagashima21/
Q41777971,https://www.facebook.com/kensuke.koito,profile,1814753174,https://www.facebook.com/kensuke.koito
Q11462993,https://www.facebook.com/%E5%B0%8F%E7%94%B0%E5%8E%9F%E3%81%8D%E3%82%88%E3%81%97-319460971405607,page,319460971405607,https://www.facebook.com/%E5%B0%8F%E7%94%B0%E5%8E%9F%E3%81%8D%E3%82%88%E3%81%97-319460971405607/
Q41770226,https://www.facebook.com/makoto.abe.22,profile,100002491719382,https://www.facebook.com/makoto.abe.22
Q41770226,https://www.facebook.com/Tokyo22abemakoto,page,899578493528078,https://www.facebook.com/Tokyo22abemakoto/
Q11470885,https://www.facebook.com/yamahana.ikuo,profile,100008500953242,https://www.facebook.com/yamahana.ikuo
Q11470885,https://www.facebook.com/IkuoYamahana,page,348636248805004,https://www.facebook.com/IkuoYamahana/
Q614476,https://www.facebook.com/tatsuya.ito.18,profile,100002156406051,https://www.facebook.com/tatsuya.ito.18
Q41770229,https://www.facebook.com/ryosuke.matsumura.79,profile,100003149091765,https://www.facebook.com/ryosuke.matsumura.79
Q41770230,https://www.facebook.com/shunsuke.ishin,profile,100004053078670,https://www.facebook.com/shunsuke.ishin
