谷田川　元,谷田川元,谷田川,元,希望,千葉県 10区,元,54,,https://www.facebook.com/hajimeyatagawa/?fref=ts,https://www.hajime-yatagawa.com/,元拉致特理事,54歳
椎名　史明,椎名史明,椎名,史明,共産,千葉県 11区,新,60,https://twitter.com/fumiakishiina,,,党地区委員長,60歳
多ケ谷　亮,多ケ谷亮,多ケ谷,亮,希望,千葉県 11区,新,48,https://twitter.com/RyoTagaya,https://www.facebook.com/ryotagaya10/,https://www.ryotagaya.jp/,会社役員,48歳
森　英介,森英介,森,英介,自民,千葉県 11区,前,68,,,http://www.morieisuke.com/,憲法審査会長,68歳
大西　航,大西航,大西,航,共産,千葉県 12区,新,36,https://twitter.com/wataame_hare,https://www.facebook.com/wataame.hare?fref=ts,https://ameblo.jp/oonishiwataru/,党県常任委員,36歳
浜田　靖一,浜田靖一,浜田,靖一,自民,千葉県 12区,前,61,,,http://www.office-hamada.jp/,予算委員長,61歳
樋高　剛,樋高剛,樋高,剛,希望,千葉県 12区,元,51,https://twitter.com/hidaka_takeshi,https://www.facebook.com/seikatsuouenpapa/,http://hidakatakeshi.sakura.ne.jp/htdocs/index.php?page_id=0,元環境政務官,51歳
皆川　眞一郎,皆川眞一郎,皆川,眞一郎,社民,千葉県 12区,新,63,https://twitter.com/Oh304o,https://www.facebook.com/profile.php?id=100014730821522,http://oh84marp.blog.so-net.ne.jp/,元県立高校校長,63歳
斉藤　和子,斉藤和子,斉藤,和子,共産,千葉県 13区,前,42,https://twitter.com/saitokazuko,https://www.facebook.com/saito9kazuko/,http://saitokazuko.jp/,元高校講師,42歳
白須賀　貴樹,白須賀貴樹,白須賀,貴樹,自民,千葉県 13区,前,42,,https://www.facebook.com/profile.php?id=100006715721289&fref=ts,http://shirasuka-takaki.com/,経産委理事,42歳
水野　智彦,水野智彦,水野,智彦,希望,千葉県 13区,元,61,,https://www.facebook.com/tomohiko2911/,https://ameblo.jp/mizuno-tomo/,歯科医師,61歳
宮川　伸,宮川伸,宮川,伸,民主,千葉県 13区,新,47,,,http://smiyakawa.com/,元会社役員,47歳
石本　憲一,石本憲一,石本,憲一,共産,愛媛県 1区,新,70,https://twitter.com/nan_jcp,,,党県書記長,70歳
塩崎　恭久,塩崎恭久,塩崎,恭久,自民,愛媛県 1区,前,66,https://twitter.com/yasu_shio,https://www.facebook.com/shiozakiyasuhisa,https://www.y-shiozaki.or.jp/,前厚生労働相,66歳
富永　喜代,富永喜代,富永,喜代,希望,愛媛県 1区,新,49,,https://www.facebook.com/kiyo.tominaga?fref=ts,,医師,49歳
一色　一正,一色一正,一色,一正,共産,愛媛県 2区,新,67,https://twitter.com/issikikazumasa,,,元西条市議,67歳
西岡　新,西岡新,西岡,新,維新,愛媛県 2区,元,44,,https://www.facebook.com/profile.php?id=100012092833477,http://nishioka-arata.jp/,設備会社役員,44歳
村上　誠一郎,村上誠一郎,村上,誠一郎,自民,愛媛県 2区,前,65,,https://www.facebook.com/murakamiseiichiro,https://sei-murakami.jp/,元行政改革相,65歳
横山　博幸,横山博幸,横山,博幸,希望,愛媛県 2区,前,66,https://twitter.com/yokoyamagogo,https://www.facebook.com/hiroyuki.yokoyama.12?fref=ts,http://shimin-net.com/,元科技特理事,66歳
国田　睦,国田睦,国田,睦,共産,愛媛県 3区,新,65,,,,党県委員,65歳
白石　寛樹,白石寛樹,白石,寛樹,自民,愛媛県 3区,新,29,,https://www.facebook.com/hiroki.siraishi?fref=ts,,元議員秘書,29歳
白石　洋一,白石洋一,白石,洋一,希望,愛媛県 3区,元,54,https://twitter.com/shiraishiyoichi,https://www.facebook.com/yoichi.shiraishi.1,http://www.shiraishi.cc/,党県副代表,54歳
森田　浩二,森田浩二,森田,浩二,幸福,愛媛県 3区,新,57,,https://www.facebook.com/morita.kojihrp,https://ameblo.jp/morita-koji/,党支部長,57歳
桜内　文城,桜内文城,桜内,文城,希望,愛媛県 4区,元,51,https://twitter.com/fsakura,https://www.facebook.com/fsakura,http://www.sakurauchi.jp/,公認会計士,51歳
西井　直人,西井直人,西井,直人,共産,愛媛県 4区,新,60,,,,党地区委員長,60歳
山本　公一,山本公一,山本,公一,自民,愛媛県 4区,前,69,,,http://www.netwave.or.jp/~kochan-y/,前環境相,69歳
稲田　朋美,稲田朋美,稲田,朋美,自民,福井県 1区,前,58,,https://www.facebook.com/tomomi.inada.5,http://www.inada-tomomi.com/,元防衛相,58歳
金元　幸枝,金元幸枝,金元,幸枝,共産,福井県 1区,新,59,https://twitter.com/jcp_555,https://www.facebook.com/people/%E9%87%91%E5%85%83%E5%B9%B8%E6%9E%9D/100005810323550,,党県書記長,59歳
鈴木　宏治,鈴木宏治,鈴木,宏治,希望,福井県 1区,新,43,,https://www.facebook.com/koji.suzuki.fukui,,衆院議員政策担当秘書　元福井県議,43歳
斉木　武志,斉木武志,斉木,武志,希望,福井県 2区,元,43,,https://www.facebook.com/saikitakeshi1974,,元ＮＨＫアナ,43歳
猿橋　巧,猿橋巧,猿橋,巧,共産,福井県 2区,新,63,,,,元おおい町議,63歳
高木　毅,高木毅,高木,毅,自民,福井県 2区,前,61,,https://www.facebook.com/%E9%AB%98%E6%9C%A8%E3%81%A4%E3%82%88%E3%81%97%E6%94%AF%E6%8F%B4%E3%81%AE%EF%BD%97%EF%BD%81-732835663451367/,http://www.takagitsuyoshi.com/,元復興相,61歳
石井　英俊,石井英俊,石井,英俊,希望,福岡県 1区,新,40,https://twitter.com/ishii_hidetoshi,https://www.facebook.com/hidetoshi.jisedai/,http://hidetoshi.asia/,「日本のこころ」福岡支部長,40歳
井上　貴博,井上貴博,井上,貴博,自民,福岡県 1区,前,55,,https://www.facebook.com/inouetakahirojimusho,,議運委理事,55歳
立川　孝彦,立川孝彦,立川,孝彦,共産,福岡県 1区,新,65,,https://www.facebook.com/takahiko.tachikawa,,党地区委員長,65歳
山本　剛正,山本剛正,山本,剛正,民主,福岡県 1区,元,45,,https://www.facebook.com/gosayyamamoto,http://gosay.jp/,元経産委理事,45歳
稲富　修二,稲富修二,稲富,修二,希望,福岡県 2区,元,46,,https://www.facebook.com/inatomishuji/?fref=ts,http://inatomi.jp/,元経産委理事,46歳
鬼木　誠,鬼木誠,鬼木,誠,自民,福岡県 2区,前,44,,https://www.facebook.com/onikidon,https://www.onikidon.com/,元環境政務官,44歳
松尾　律子,松尾律子,松尾,律子,共産,福岡県 2区,新,45,https://twitter.com/matsuo_ritsuko,,,党地区役員,45歳
古賀　篤,古賀篤,古賀,篤,自民,福岡県 3区,前,45,https://twitter.com/kogaatsushi,https://www.facebook.com/kogaatsushi03/,http://kogaatsushi.com/,元総務政務官,45歳
山内　康一,山内康一,山内,康一,民主,福岡県 3区,元,43,,https://www.facebook.com/profile.php?id=100011506096100&fref=ts,http://www.kou1.info/,元ＮＧＯ職員,43歳
山口　湧人,山口湧人,山口,湧人,共産,福岡県 3区,新,27,,https://www.facebook.com/people/%E5%B1%B1%E5%8F%A3%E6%B9%A7%E4%BA%BA/100016285746840,,党職員,27歳
河野　正美,河野正美,河野,正美,維新,福岡県 4区,前,56,https://twitter.com/mkawano2416,https://www.facebook.com/MasamiKawano.MD.PhD/,https://www.kawano-masami.com/,元内閣委理事,56歳
新留　清隆,新留清隆,新留,清隆,共産,福岡県 4区,新,62,https://twitter.com/sindome7,https://www.facebook.com/jcp.munakasu?fref=ts,,党地区委員長,62歳
宮内　秀樹,宮内秀樹,宮内,秀樹,自民,福岡県 4区,前,54,https://twitter.com/MiyauchiHideki,https://www.facebook.com/MiyauchiHideki,https://miyauchihideki.jp/,元国交政務官,54歳
楠田　大蔵,楠田大蔵,楠田,大蔵,希望,福岡県 5区,元,42,https://twitter.com/kusuda_daizoo,https://www.facebook.com/daizoo.kusuda?fref=ts,http://www.daizoo.com/,元防衛政務官,42歳
田中　陽二,田中陽二,田中,陽二,共産,福岡県 5区,新,61,https://twitter.com/tanakayoji,,,党地区委員長,61歳
原田　義昭,原田義昭,原田,義昭,自民,福岡県 5区,前,72,https://twitter.com/yoshiaki_harada,https://www.facebook.com/Harada4192/?fref=ts,https://chikushino.jimdo.com/,消費特委員長,72歳
新井　富美子,新井富美子,新井,富美子,無所属,福岡県 6区,新,50,,https://www.facebook.com/araifumiko6ku/,http://www.araifumiko.jp/,元総領事館員,50歳
小林　解子,小林解子,小林,解子,共産,福岡県 6区,新,37,,https://www.facebook.com/profile.php?id=100003942092365&fref=ts,,党地区委員長,37歳
西原　忠弘,西原忠弘,西原,忠弘,幸福,福岡県 6区,新,62,https://twitter.com/nishihara_tada,https://www.facebook.com/nishihara.tada,http://nishihara-tadahiro.net/,元製薬会社員,62歳
鳩山　二郎,鳩山二郎,鳩山,二郎,自民,福岡県 6区,前,38,,https://www.facebook.com/%E9%B3%A9%E5%B1%B1-%E4%BA%8C%E9%83%8E-611761022337730/,,元大川市長,38歳
江口　学,江口学,江口,学,共産,福岡県 7区,新,43,https://twitter.com/omuta_eguchi,https://www.facebook.com/profile.php?id=100008827811511,,党地区副委長,43歳
原　圭介,原圭介,原,圭介,希望,福岡県 7区,新,39,https://twitter.com/harakeikei,https://www.facebook.com/harakeifukuoka?fref=ts,,元議員秘書,39歳
藤丸　敏,藤丸敏,藤丸,敏,自民,福岡県 7区,前,57,,https://www.facebook.com/fujimaru.satoshi/,http://www.fujimaru-satoshi.net/,元防衛政務官,57歳
麻生　太郎,麻生太郎,麻生,太郎,自民,福岡県 8区,前,76,,https://www.facebook.com/%E9%BA%BB%E7%94%9F-%E5%A4%AA%E9%83%8E-223549501015740/?fref=ts,http://www.aso-taro.jp/,副総理,76歳
宮嶋　つや子,宮嶋つや子,宮嶋,つや子,共産,福岡県 8区,新,66,https://twitter.com/tsuyako1127,https://www.facebook.com/tsuyako.miyazima,,飯塚市議,66歳
緒方　林太郎,緒方林太郎,緒方,林太郎,希望,福岡県 9区,前,44,,https://www.facebook.com/rintaro.ogata.official/,http://rinta.jp/,党県代表,44歳
